Egendomstyp;Rubrik;Utropspris (kr);Startpris (kr);Utlämningsform;Försäljningsform;Försäljningsort;Försäljningsslut;Betalat belopp (kr);Vill ha frakt
Övrigt (Ljud & Bild);Diverse fototillbehör i låda;600,00;30,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Skövde;2019-01-08;1500;Nej
Övrigt (Ljud & Bild);Fotoflash;1 500,00;700,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Skövde;2019-01-08;700;Ja
Övrigt (Ljud & Bild);Trådlös handhållen blixt;1 500,00;700,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Skövde;2019-01-08;700;Nej
Övrigt (Ljud & Bild);Lampa/blixt ;600,00;30,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Skövde;2019-01-08;300;Nej
Övrigt (Ljud & Bild);Blixt på stativ;1 000,00;500,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Skövde;2019-01-08;1300;Ja
Övrigt (Ljud & Bild);Fotolampa;600,00;30,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Skövde;2019-01-08;650;Ja
Övrigt (Ljud & Bild);Fotolampa;600,00;30,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Skövde;2019-01-08;40;Nej
Övrigt (Ljud & Bild);Fotoparaply med blixt;1 100,00;600,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Skövde;2019-01-08;1000;Nej
Övrigt (Ljud & Bild);Blixt på stativ;1 000,00;500,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Skövde;2019-01-08;800;Nej
Övrigt (Ljud & Bild);Blixt på stativ;1 000,00;500,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Skövde;2019-01-08;600;Nej
Övrigt (Ljud & Bild);Fotoparaply och blixt;1 200,00;600,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Skövde;2019-01-08;1300;Nej
Övrigt (Ljud & Bild);Studioblixt;600,00;30,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Skövde;2019-01-08;130;Nej
Övrigt (Ljud & Bild);Fotoflash ;1 500,00;700,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Skövde;2019-01-08;750;Ja
Övrigt (Ljud & Bild);Lampa/blixt ;600,00;30,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Skövde;2019-01-08;300;Nej
Personbil;Chevrolet Camaro;45 000,00;22 500,00;Ska hämtas;Intern Nätauktion;Skövde;2019-01-08;45000;Nej
Djurtransport;Hundsläpkärra;4 000,00;2 000,00;Ska hämtas;Intern Nätauktion;Skövde;2019-01-08;5800;Nej
Övrigt;Snöplog;15 000,00;7 000,00;Ska hämtas;Intern Nätauktion;Skövde;2019-01-08;30500;Nej
Övrigt;Snöplog;10 000,00;5 000,00;Ska hämtas;Intern Nätauktion;Skövde;2019-01-08;5000;Nej
Övrigt;Lager med sensorer/elektronik;90 000,00;22 500,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;22500;Nej
Husbil;Husbil PEUGEOT J5 ADRIATIK 550;55 000,00;27 500,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;50500;Nej
Personbil;VW FOX 1,4 ;25 000,00;12 500,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;13000;Nej
Motorcykel Touring;BMW K1200RS;22 000,00;11 000,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;22500;Nej
Personbilssläp;Släp Tysse;15 000,00;7 600,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;20000;Nej
Personbil;Cadillac Eldorado Luxery Cab;35 000,00;17 500,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;63500;Nej
Personbil;Volvo XC90 med takbox;47 000,00;23 500,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;35000;Nej
Personbil;Land Rover LV ;215 000,00;107 000,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;155000;Nej
Personbil;BMW 320I Touring;40 000,00;20 000,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;20500;Nej
Personbil;LAND ROVER FREELANDER ;20 000,00;10 000,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;12500;Nej
Personbilssläp;Neptun N7-263 PRO;12 000,00;6 000,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;11500;Nej
Kulgevär;Kulgevär Seko med kikarsikte;4 000,00;2 000,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;2000;Nej
Kulgevär;Kulgevär Seko med kikarsikte;5 000,00;2 500,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;4400;Nej
Hagelgevär;Hagelgevär Beretta ;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;4100;Nej
Kulgevär;Kulgevär Browning Bar Light;5 000,00;2 500,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;6000;Nej
Verktyg;Tigersåg Bosch Professional;600,00;30,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Karlstad;2019-01-08;800;Ja
Verktyg;Skruvdragare Hitachi;600,00;30,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Karlstad;2019-01-08;850;Nej
Gitarr/Bas/Förstärkare;Gitarr,Squier Stratt by Fender;500,00;30,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;700;Nej
Gitarr/Bas/Förstärkare;Basgitarr, Squier MD 4 ;1 700,00;850,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;850;Nej
Gitarr/Bas/Förstärkare;Gitarr, Epiphone Zakk Wylde;3 000,00;1 500,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;3900;Nej
Racercykel;Racercykel Fullcarbon Cervélo ;49 000,00;24 000,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;35500;Nej
Kulgevär;Kulgevär Carl Gustaf;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;500;Nej
Camping & Friluftsliv;Tält, sovsäck och liggunderlag;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Karlstad;2019-01-08;1100;Nej
Motorbåt;Båt Ancas Queen med båtkärra;30 000,00;15 000,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;42000;Nej
Personbil;Volvo V70;60 000,00;30 000,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;70500;Nej
Mopeder;Äldre moped;3 500,00;1 700,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;4600;Nej
Övrigt (Motorcyklar);Suzuki GSF Bandit 1200S ;20 000,00;10 000,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;12750;Nej
